smiles,pACT
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)Nc3ccc(NC)cc3C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)Nc3ccc(NCC)cc3C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)Nc3ccc(NCCC)cc3C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)Nc3ccc(NC(C)C)cc3C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CCNc1ccc(NC(=O)CN2CCN(CC(=O)OC3CC(C)(C=C)C(O)C(C)C45CCC(=O)C4C3(C)C(C)CC5)CC2)c(C)c1,0.5
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)Nc3ccc(NCc4ccccc4)cc3C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)n3cc(CN4CCN(c5cccc([N+](=O)[O-])c5)CC4)nn3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)n3cc(CN4CCN(c5ccccc5Cl)CC4)nn3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)n3cc(CN4CCCCC4)nn3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)n3cc(-c4cccc(-n5cnc6c(N)cnnc65)c4)nn3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.06
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)n3cc(-c4cccc(N)c4)nn3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)n3cc(-c4ccccc4C#N)nn3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CN2CCN(CC(=O)n3cc(-c4ccc(O)cc4)nn3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
